"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","67.8","64.0","71.6","1067","Overall","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","62.2","56.5","67.9","515","Male","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","74.2","69.6","78.8","552","Female","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","32.2","28.4","36.0","1067","Overall","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","37.8","32.1","43.5","515","Male","All Ages","All Races","All Grades"
"2018","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","25.8","21.2","30.4","552","Female","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","65.4","61.7","69.1","1143","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","67.6","62.3","72.9","532","Male","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Every Day","Percentage","63.0","57.9","68.1","611","Female","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","34.6","30.9","38.3","1143","Overall","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","32.4","27.1","37.7","532","Male","All Ages","All Races","All Grades"
"2017","Alabama","BRFSS","Cigarette Use (Adults)","Smoking Frequency","Some Days","Percentage","37.0","31.9","42.1","611","Female","All Ages","All Races","All Grades"
